health_district,number_of_cases,number_of_deaths,number_of_hospitalizations,report_date
Western Tidewater,1936,77,132,2020-08-05 00:00:00
West Piedmont,991,15,118,2020-08-05 00:00:00
Alexandria,2887,60,274,2020-08-06 00:00:00
Alleghany,912,18,42,2020-08-06 00:00:00
Arlington,3013,135,436,2020-08-06 00:00:00
Central Shenandoah,2723,57,210,2020-08-06 00:00:00
Central Virginia,1231,13,60,2020-08-06 00:00:00
Chesapeake,2761,37,223,2020-08-06 00:00:00
Chesterfield,4540,102,251,2020-08-06 00:00:00
Chickahominy,945,45,130,2020-08-06 00:00:00
Crater,2261,70,216,2020-08-06 00:00:00
Cumberland Plateau,309,3,25,2020-08-06 00:00:00
Eastern Shore,1380,45,127,2020-08-06 00:00:00
Fairfax,16228,540,1933,2020-08-06 00:00:00
Hampton,1131,7,49,2020-08-06 00:00:00
Henrico,3742,182,327,2020-08-06 00:00:00
Lenowisco,296,7,34,2020-08-06 00:00:00
Lord Fairfax,2517,86,219,2020-08-06 00:00:00
Loudoun,5150,115,342,2020-08-06 00:00:00
Mount Rogers,1317,52,124,2020-08-06 00:00:00
New River,480,7,33,2020-08-06 00:00:00
Norfolk,3496,29,182,2020-08-06 00:00:00
Peninsula,2809,44,165,2020-08-06 00:00:00
Piedmont,1422,31,121,2020-08-06 00:00:00
Pittsylvania-Danville,754,9,70,2020-08-06 00:00:00
Portsmouth,1676,25,132,2020-08-06 00:00:00
Prince William,11294,204,964,2020-08-06 00:00:00
Rappahannock,3444,55,294,2020-08-06 00:00:00
Rappahannock Rapidan,1896,27,134,2020-08-06 00:00:00
Richmond,3067,41,289,2020-08-06 00:00:00
Roanoke,973,14,21,2020-08-06 00:00:00
Southside,721,35,66,2020-08-06 00:00:00
Thomas Jefferson,1845,44,138,2020-08-06 00:00:00
Three Rivers,1012,16,69,2020-08-06 00:00:00
Virginia Beach,4658,52,222,2020-08-06 00:00:00
Western Tidewater,1961,77,132,2020-08-06 00:00:00
West Piedmont,1016,15,129,2020-08-06 00:00:00
Alexandria,2917,60,275,2020-08-07 00:00:00
Alleghany,953,18,44,2020-08-07 00:00:00
Arlington,3037,135,436,2020-08-07 00:00:00
Central Shenandoah,2746,59,214,2020-08-07 00:00:00
Central Virginia,1321,14,62,2020-08-07 00:00:00
Chesapeake,2828,37,225,2020-08-07 00:00:00
Chesterfield,4619,105,256,2020-08-07 00:00:00
Chickahominy,971,45,133,2020-08-07 00:00:00
Crater,2323,70,216,2020-08-07 00:00:00
Cumberland Plateau,333,3,25,2020-08-07 00:00:00
Eastern Shore,1382,45,127,2020-08-07 00:00:00
Fairfax,16385,543,1947,2020-08-07 00:00:00
Hampton,1173,7,49,2020-08-07 00:00:00
Henrico,3811,184,331,2020-08-07 00:00:00
Lenowisco,330,7,35,2020-08-07 00:00:00
Lord Fairfax,2530,86,220,2020-08-07 00:00:00
Loudoun,5196,115,346,2020-08-07 00:00:00
Mount Rogers,1367,52,125,2020-08-07 00:00:00
New River,507,8,33,2020-08-07 00:00:00
Norfolk,3629,30,187,2020-08-07 00:00:00
Peninsula,2903,44,167,2020-08-07 00:00:00
Piedmont,1444,34,124,2020-08-07 00:00:00
Pittsylvania-Danville,804,9,73,2020-08-07 00:00:00
Portsmouth,1726,25,133,2020-08-07 00:00:00
Prince William,11483,205,972,2020-08-07 00:00:00
Rappahannock,3532,55,299,2020-08-07 00:00:00
Rappahannock Rapidan,1927,27,137,2020-08-07 00:00:00
Richmond,3112,41,296,2020-08-07 00:00:00
Roanoke,1000,14,21,2020-08-07 00:00:00
Southside,763,35,66,2020-08-07 00:00:00
Thomas Jefferson,1894,44,141,2020-08-07 00:00:00
Three Rivers,1044,16,71,2020-08-07 00:00:00
Virginia Beach,4781,53,229,2020-08-07 00:00:00
Western Tidewater,2040,77,132,2020-08-07 00:00:00
West Piedmont,1071,15,134,2020-08-07 00:00:00
Alexandria,2949,60,278,2020-08-08 00:00:00
Alleghany,958,18,44,2020-08-08 00:00:00
Arlington,3062,135,437,2020-08-08 00:00:00
Central Shenandoah,2773,59,214,2020-08-08 00:00:00
Central Virginia,1393,14,62,2020-08-08 00:00:00
Chesapeake,2872,37,226,2020-08-08 00:00:00
Chesterfield,4691,105,259,2020-08-08 00:00:00
Chickahominy,981,45,133,2020-08-08 00:00:00
Crater,2356,70,217,2020-08-08 00:00:00
Cumberland Plateau,346,3,26,2020-08-08 00:00:00
Eastern Shore,1391,45,128,2020-08-08 00:00:00
Fairfax,16447,542,1953,2020-08-08 00:00:00
Hampton,1210,7,50,2020-08-08 00:00:00
Henrico,3839,184,333,2020-08-08 00:00:00
Lenowisco,348,7,36,2020-08-08 00:00:00
Lord Fairfax,2548,87,222,2020-08-08 00:00:00
Loudoun,5254,115,349,2020-08-08 00:00:00
Mount Rogers,1391,53,128,2020-08-08 00:00:00
New River,520,8,33,2020-08-08 00:00:00
Norfolk,3700,30,191,2020-08-08 00:00:00
Peninsula,2944,44,167,2020-08-08 00:00:00
Piedmont,1468,34,124,2020-08-08 00:00:00
Pittsylvania-Danville,819,9,75,2020-08-08 00:00:00
Portsmouth,1758,25,133,2020-08-08 00:00:00
Prince William,11584,205,971,2020-08-08 00:00:00
Rappahannock,3584,55,300,2020-08-08 00:00:00
Rappahannock Rapidan,1951,27,138,2020-08-08 00:00:00
Richmond,3132,41,299,2020-08-08 00:00:00
Roanoke,1009,15,23,2020-08-08 00:00:00
Southside,820,35,66,2020-08-08 00:00:00
Thomas Jefferson,1939,44,144,2020-08-08 00:00:00
Three Rivers,1071,17,71,2020-08-08 00:00:00
Virginia Beach,4895,54,230,2020-08-08 00:00:00
Western Tidewater,2083,78,132,2020-08-08 00:00:00
West Piedmont,1103,15,140,2020-08-08 00:00:00
Alexandria,2964,60,278,2020-08-09 00:00:00
Alleghany,963,18,45,2020-08-09 00:00:00
Arlington,3077,135,437,2020-08-09 00:00:00
Central Shenandoah,2775,59,214,2020-08-09 00:00:00
Central Virginia,1449,14,62,2020-08-09 00:00:00
Chesapeake,2912,37,230,2020-08-09 00:00:00
Chesterfield,4706,105,259,2020-08-09 00:00:00
Chickahominy,987,45,133,2020-08-09 00:00:00
Crater,2401,70,218,2020-08-09 00:00:00
Cumberland Plateau,353,3,26,2020-08-09 00:00:00
Eastern Shore,1396,45,128,2020-08-09 00:00:00
Fairfax,16524,542,1957,2020-08-09 00:00:00
Hampton,1228,7,50,2020-08-09 00:00:00
Henrico,3871,185,335,2020-08-09 00:00:00
Lenowisco,354,7,36,2020-08-09 00:00:00
Lord Fairfax,2568,88,222,2020-08-09 00:00:00
Loudoun,5280,115,349,2020-08-09 00:00:00
Mount Rogers,1427,53,128,2020-08-09 00:00:00
New River,546,8,33,2020-08-09 00:00:00
Norfolk,3703,31,194,2020-08-09 00:00:00
Peninsula,2971,44,167,2020-08-09 00:00:00
Piedmont,1467,34,124,2020-08-09 00:00:00
Pittsylvania-Danville,892,9,77,2020-08-09 00:00:00
Portsmouth,1759,25,133,2020-08-09 00:00:00
Prince William,11657,205,974,2020-08-09 00:00:00
Rappahannock,3615,57,302,2020-08-09 00:00:00
Rappahannock Rapidan,1964,27,138,2020-08-09 00:00:00
Richmond,3165,41,302,2020-08-09 00:00:00
Roanoke,1017,15,24,2020-08-09 00:00:00
Southside,827,35,68,2020-08-09 00:00:00
Thomas Jefferson,1965,44,144,2020-08-09 00:00:00
Three Rivers,1087,16,72,2020-08-09 00:00:00
Virginia Beach,4973,54,238,2020-08-09 00:00:00
Western Tidewater,2117,78,132,2020-08-09 00:00:00
West Piedmont,1126,15,140,2020-08-09 00:00:00
Alexandria,2976,60,278,2020-08-10 00:00:00
Alleghany,964,18,47,2020-08-10 00:00:00
Arlington,3091,135,437,2020-08-10 00:00:00
Central Shenandoah,2793,59,215,2020-08-10 00:00:00
Central Virginia,1464,14,62,2020-08-10 00:00:00
Chesapeake,2949,37,230,2020-08-10 00:00:00
Chesterfield,4714,105,261,2020-08-10 00:00:00
Chickahominy,998,45,133,2020-08-10 00:00:00
Crater,2429,70,219,2020-08-10 00:00:00
Cumberland Plateau,370,3,26,2020-08-10 00:00:00
Eastern Shore,1398,45,128,2020-08-10 00:00:00
Fairfax,16596,542,1959,2020-08-10 00:00:00
Hampton,1245,7,51,2020-08-10 00:00:00
Henrico,3904,185,336,2020-08-10 00:00:00
Lenowisco,383,7,37,2020-08-10 00:00:00
Lord Fairfax,2569,88,222,2020-08-10 00:00:00
Loudoun,5306,115,349,2020-08-10 00:00:00
Mount Rogers,1435,53,128,2020-08-10 00:00:00
New River,547,8,33,2020-08-10 00:00:00
Norfolk,3703,32,195,2020-08-10 00:00:00
Peninsula,3009,44,168,2020-08-10 00:00:00
Piedmont,1467,34,124,2020-08-10 00:00:00
Pittsylvania-Danville,904,9,77,2020-08-10 00:00:00
Portsmouth,1788,25,133,2020-08-10 00:00:00
Prince William,11693,205,975,2020-08-10 00:00:00
Rappahannock,3649,57,302,2020-08-10 00:00:00
Rappahannock Rapidan,1971,27,138,2020-08-10 00:00:00
Richmond,3190,41,304,2020-08-10 00:00:00
Roanoke,1015,15,24,2020-08-10 00:00:00
Southside,832,35,68,2020-08-10 00:00:00
Thomas Jefferson,1976,44,145,2020-08-10 00:00:00
Three Rivers,1102,16,72,2020-08-10 00:00:00
Virginia Beach,5050,54,242,2020-08-10 00:00:00
Western Tidewater,2133,78,132,2020-08-10 00:00:00
West Piedmont,1136,15,141,2020-08-10 00:00:00
Alexandria,2995,60,281,2020-08-11 00:00:00
Alleghany,968,18,49,2020-08-11 00:00:00
Arlington,3105,135,437,2020-08-11 00:00:00
Central Shenandoah,2812,59,215,2020-08-11 00:00:00
Central Virginia,1500,16,64,2020-08-11 00:00:00
Chesapeake,2958,38,238,2020-08-11 00:00:00
Chesterfield,4788,105,263,2020-08-11 00:00:00
Chickahominy,1002,45,133,2020-08-11 00:00:00
Crater,2475,70,220,2020-08-11 00:00:00
Cumberland Plateau,380,4,28,2020-08-11 00:00:00
Eastern Shore,1402,45,128,2020-08-11 00:00:00
Fairfax,16695,542,1961,2020-08-11 00:00:00
Hampton,1257,7,51,2020-08-11 00:00:00
Henrico,3948,186,336,2020-08-11 00:00:00
Lenowisco,425,7,42,2020-08-11 00:00:00
Lord Fairfax,2583,90,226,2020-08-11 00:00:00
Loudoun,5346,115,352,2020-08-11 00:00:00
Mount Rogers,1446,55,128,2020-08-11 00:00:00
New River,556,8,33,2020-08-11 00:00:00
Norfolk,3787,32,201,2020-08-11 00:00:00
Peninsula,3019,46,168,2020-08-11 00:00:00
Piedmont,1490,36,124,2020-08-11 00:00:00
Pittsylvania-Danville,922,9,77,2020-08-11 00:00:00
Portsmouth,1833,25,133,2020-08-11 00:00:00
Prince William,11748,205,977,2020-08-11 00:00:00
Rappahannock,3690,57,302,2020-08-11 00:00:00
Rappahannock Rapidan,1979,27,139,2020-08-11 00:00:00
Richmond,3229,41,309,2020-08-11 00:00:00
Roanoke,1032,15,26,2020-08-11 00:00:00
Southside,840,35,68,2020-08-11 00:00:00
Thomas Jefferson,1997,44,145,2020-08-11 00:00:00
Three Rivers,1115,17,75,2020-08-11 00:00:00
Virginia Beach,5111,54,252,2020-08-11 00:00:00
Western Tidewater,2165,79,132,2020-08-11 00:00:00
West Piedmont,1147,17,145,2020-08-11 00:00:00
Alexandria,3014,60,281,2020-08-12 00:00:00
Alleghany,973,18,49,2020-08-12 00:00:00
Arlington,3118,135,437,2020-08-12 00:00:00
Central Shenandoah,2828,59,218,2020-08-12 00:00:00
Central Virginia,1513,16,65,2020-08-12 00:00:00
Chesapeake,3008,38,239,2020-08-12 00:00:00
Chesterfield,4829,106,267,2020-08-12 00:00:00
Chickahominy,1009,46,133,2020-08-12 00:00:00
Crater,2526,70,223,2020-08-12 00:00:00
Cumberland Plateau,386,4,29,2020-08-12 00:00:00
Eastern Shore,1404,46,130,2020-08-12 00:00:00
Fairfax,16795,542,1973,2020-08-12 00:00:00
Hampton,1273,7,52,2020-08-12 00:00:00
Henrico,3968,186,344,2020-08-12 00:00:00
Lenowisco,443,7,43,2020-08-12 00:00:00
Lord Fairfax,2589,90,229,2020-08-12 00:00:00
Loudoun,5372,115,353,2020-08-12 00:00:00
Mount Rogers,1463,55,132,2020-08-12 00:00:00
New River,577,8,33,2020-08-12 00:00:00
Norfolk,3802,33,208,2020-08-12 00:00:00
Peninsula,3040,46,169,2020-08-12 00:00:00
Piedmont,1496,36,125,2020-08-12 00:00:00
Pittsylvania-Danville,935,9,77,2020-08-12 00:00:00
Portsmouth,1855,25,133,2020-08-12 00:00:00
Prince William,11793,206,978,2020-08-12 00:00:00
Rappahannock,3745,57,305,2020-08-12 00:00:00
Rappahannock Rapidan,1981,27,139,2020-08-12 00:00:00
Richmond,3248,41,315,2020-08-12 00:00:00
Roanoke,1036,15,27,2020-08-12 00:00:00
Southside,845,36,69,2020-08-12 00:00:00
Thomas Jefferson,2020,44,145,2020-08-12 00:00:00
Three Rivers,1123,17,75,2020-08-12 00:00:00
Virginia Beach,5139,54,258,2020-08-12 00:00:00
Western Tidewater,2208,81,134,2020-08-12 00:00:00
West Piedmont,1167,17,145,2020-08-12 00:00:00
Alexandria,3020,60,281,2020-08-13 00:00:00
Alleghany,980,18,49,2020-08-13 00:00:00
Arlington,3134,135,437,2020-08-13 00:00:00
Central Shenandoah,2857,60,219,2020-08-13 00:00:00
Central Virginia,1574,16,66,2020-08-13 00:00:00
Chesapeake,3082,41,247,2020-08-13 00:00:00
Chesterfield,4872,106,267,2020-08-13 00:00:00
Chickahominy,1030,46,133,2020-08-13 00:00:00
Crater,2542,70,226,2020-08-13 00:00:00
Cumberland Plateau,392,4,30,2020-08-13 00:00:00
Eastern Shore,1408,46,132,2020-08-13 00:00:00
Fairfax,16858,543,1975,2020-08-13 00:00:00
Hampton,1291,7,52,2020-08-13 00:00:00
Henrico,3999,187,347,2020-08-13 00:00:00
Lenowisco,469,8,43,2020-08-13 00:00:00
Lord Fairfax,2605,90,230,2020-08-13 00:00:00
Loudoun,5403,115,356,2020-08-13 00:00:00
Mount Rogers,1481,56,133,2020-08-13 00:00:00
New River,599,8,32,2020-08-13 00:00:00
Norfolk,3858,33,215,2020-08-13 00:00:00
Peninsula,3079,47,170,2020-08-13 00:00:00
Piedmont,1503,35,125,2020-08-13 00:00:00
Pittsylvania-Danville,960,10,78,2020-08-13 00:00:00
Portsmouth,1907,25,133,2020-08-13 00:00:00
Prince William,11885,207,986,2020-08-13 00:00:00
Rappahannock,3816,58,307,2020-08-13 00:00:00
Rappahannock Rapidan,1994,27,139,2020-08-13 00:00:00
Richmond,3280,41,321,2020-08-13 00:00:00
Roanoke,1041,15,27,2020-08-13 00:00:00
Southside,849,36,69,2020-08-13 00:00:00
Thomas Jefferson,2047,44,148,2020-08-13 00:00:00
Three Rivers,1141,17,76,2020-08-13 00:00:00
Virginia Beach,5204,54,259,2020-08-13 00:00:00
Western Tidewater,2245,81,135,2020-08-13 00:00:00
West Piedmont,1217,17,149,2020-08-13 00:00:00
Alexandria,3050,61,282,2020-08-14 00:00:00
Alleghany,991,18,49,2020-08-14 00:00:00
Arlington,3176,135,437,2020-08-14 00:00:00
Central Shenandoah,2874,60,221,2020-08-14 00:00:00
Central Virginia,1624,16,66,2020-08-14 00:00:00
Chesapeake,3158,41,250,2020-08-14 00:00:00
Chesterfield,4905,106,267,2020-08-14 00:00:00
Chickahominy,1046,46,133,2020-08-14 00:00:00
Crater,2601,70,226,2020-08-14 00:00:00
Cumberland Plateau,399,5,31,2020-08-14 00:00:00
Eastern Shore,1414,46,133,2020-08-14 00:00:00
Fairfax,16972,544,1976,2020-08-14 00:00:00
Hampton,1309,7,52,2020-08-14 00:00:00
Henrico,4042,187,350,2020-08-14 00:00:00
Lenowisco,482,9,46,2020-08-14 00:00:00
Lord Fairfax,2624,90,231,2020-08-14 00:00:00
Loudoun,5441,115,358,2020-08-14 00:00:00
Mount Rogers,1506,58,136,2020-08-14 00:00:00
New River,607,8,33,2020-08-14 00:00:00
Norfolk,3895,33,223,2020-08-14 00:00:00
Peninsula,3138,47,170,2020-08-14 00:00:00
Piedmont,1516,35,125,2020-08-14 00:00:00
Pittsylvania-Danville,994,10,80,2020-08-14 00:00:00
Portsmouth,1952,25,134,2020-08-14 00:00:00
Prince William,11992,207,987,2020-08-14 00:00:00
Rappahannock,3848,58,313,2020-08-14 00:00:00
Rappahannock Rapidan,2007,27,139,2020-08-14 00:00:00
Richmond,3308,41,327,2020-08-14 00:00:00
Roanoke,1051,15,29,2020-08-14 00:00:00
Southside,865,36,69,2020-08-14 00:00:00
Thomas Jefferson,2067,44,149,2020-08-14 00:00:00
Three Rivers,1155,17,77,2020-08-14 00:00:00
Virginia Beach,5277,55,261,2020-08-14 00:00:00
Western Tidewater,2301,81,137,2020-08-14 00:00:00
West Piedmont,1251,17,153,2020-08-14 00:00:00
Alexandria,3082,61,283,2020-08-15 00:00:00
Alleghany,991,18,51,2020-08-15 00:00:00
Arlington,3196,135,437,2020-08-15 00:00:00
Central Shenandoah,2896,60,221,2020-08-15 00:00:00
Central Virginia,1668,17,66,2020-08-15 00:00:00
Chesapeake,3197,41,253,2020-08-15 00:00:00
Chesterfield,4962,106,267,2020-08-15 00:00:00
Chickahominy,1054,46,133,2020-08-15 00:00:00
Crater,2633,70,228,2020-08-15 00:00:00
Cumberland Plateau,410,5,33,2020-08-15 00:00:00
Eastern Shore,1418,46,135,2020-08-15 00:00:00
Fairfax,17042,546,1987,2020-08-15 00:00:00
Hampton,1321,9,53,2020-08-15 00:00:00
Henrico,4068,187,351,2020-08-15 00:00:00
Lenowisco,510,10,48,2020-08-15 00:00:00
Lord Fairfax,2639,92,231,2020-08-15 00:00:00
Loudoun,5482,115,360,2020-08-15 00:00:00
Mount Rogers,1529,58,138,2020-08-15 00:00:00
New River,617,8,33,2020-08-15 00:00:00
Norfolk,3944,34,229,2020-08-15 00:00:00
Peninsula,3175,47,170,2020-08-15 00:00:00
Piedmont,1533,35,125,2020-08-15 00:00:00
Pittsylvania-Danville,1011,10,81,2020-08-15 00:00:00
Portsmouth,1964,25,137,2020-08-15 00:00:00
Prince William,12050,207,988,2020-08-15 00:00:00
Rappahannock,3892,58,313,2020-08-15 00:00:00
Rappahannock Rapidan,2015,27,139,2020-08-15 00:00:00
Richmond,3339,42,327,2020-08-15 00:00:00
Roanoke,1056,15,30,2020-08-15 00:00:00
Southside,872,36,69,2020-08-15 00:00:00
Thomas Jefferson,2089,44,150,2020-08-15 00:00:00
Three Rivers,1167,17,77,2020-08-15 00:00:00
Virginia Beach,5322,55,265,2020-08-15 00:00:00
Western Tidewater,2336,81,138,2020-08-15 00:00:00
West Piedmont,1270,18,155,2020-08-15 00:00:00
Alexandria,3104,61,284,2020-08-16 00:00:00
Alleghany,991,18,51,2020-08-16 00:00:00
Arlington,3229,135,437,2020-08-16 00:00:00
Central Shenandoah,2921,60,221,2020-08-16 00:00:00
Central Virginia,1723,17,68,2020-08-16 00:00:00
Chesapeake,3258,41,257,2020-08-16 00:00:00
Chesterfield,4994,106,267,2020-08-16 00:00:00
Chickahominy,1062,46,133,2020-08-16 00:00:00
Crater,2651,70,228,2020-08-16 00:00:00
Cumberland Plateau,417,5,33,2020-08-16 00:00:00
Eastern Shore,1422,46,135,2020-08-16 00:00:00
Fairfax,17160,546,1988,2020-08-16 00:00:00
Hampton,1337,9,53,2020-08-16 00:00:00
Henrico,4109,187,352,2020-08-16 00:00:00
Lenowisco,527,10,49,2020-08-16 00:00:00
Lord Fairfax,2655,92,232,2020-08-16 00:00:00
Loudoun,5511,115,360,2020-08-16 00:00:00
Mount Rogers,1559,58,143,2020-08-16 00:00:00
New River,629,8,33,2020-08-16 00:00:00
Norfolk,3982,34,234,2020-08-16 00:00:00
Peninsula,3208,47,170,2020-08-16 00:00:00
Piedmont,1539,35,125,2020-08-16 00:00:00
Pittsylvania-Danville,1032,10,82,2020-08-16 00:00:00
Portsmouth,1965,25,137,2020-08-16 00:00:00
Prince William,12135,207,990,2020-08-16 00:00:00
Rappahannock,3926,58,314,2020-08-16 00:00:00
Rappahannock Rapidan,2030,27,139,2020-08-16 00:00:00
Richmond,3354,42,332,2020-08-16 00:00:00
Roanoke,1064,15,30,2020-08-16 00:00:00
Southside,875,36,69,2020-08-16 00:00:00
Thomas Jefferson,2116,44,152,2020-08-16 00:00:00
Three Rivers,1169,17,78,2020-08-16 00:00:00
Virginia Beach,5394,55,266,2020-08-16 00:00:00
Western Tidewater,2369,81,140,2020-08-16 00:00:00
West Piedmont,1270,18,155,2020-08-16 00:00:00
Alexandria,3130,61,284,2020-08-17 00:00:00
Alleghany,1007,18,52,2020-08-17 00:00:00
Arlington,3246,135,437,2020-08-17 00:00:00
Central Shenandoah,2944,60,225,2020-08-17 00:00:00
Central Virginia,1726,17,68,2020-08-17 00:00:00
Chesapeake,3303,41,257,2020-08-17 00:00:00
Chesterfield,4997,106,267,2020-08-17 00:00:00
Chickahominy,1068,46,134,2020-08-17 00:00:00
Crater,2673,70,230,2020-08-17 00:00:00
Cumberland Plateau,424,5,33,2020-08-17 00:00:00
Eastern Shore,1426,46,135,2020-08-17 00:00:00
Fairfax,17236,548,1989,2020-08-17 00:00:00
Hampton,1349,9,53,2020-08-17 00:00:00
Henrico,4149,187,354,2020-08-17 00:00:00
Lenowisco,537,10,49,2020-08-17 00:00:00
Lord Fairfax,2659,92,234,2020-08-17 00:00:00
Loudoun,5528,115,361,2020-08-17 00:00:00
Mount Rogers,1586,59,147,2020-08-17 00:00:00
New River,638,8,33,2020-08-17 00:00:00
Norfolk,4002,34,234,2020-08-17 00:00:00
Peninsula,3237,47,170,2020-08-17 00:00:00
Piedmont,1549,35,125,2020-08-17 00:00:00
Pittsylvania-Danville,1048,11,82,2020-08-17 00:00:00
Portsmouth,1995,25,137,2020-08-17 00:00:00
Prince William,12178,207,990,2020-08-17 00:00:00
Rappahannock,3953,58,316,2020-08-17 00:00:00
Rappahannock Rapidan,2041,27,139,2020-08-17 00:00:00
Richmond,3404,42,336,2020-08-17 00:00:00
Roanoke,1082,15,31,2020-08-17 00:00:00
Southside,877,36,69,2020-08-17 00:00:00
Thomas Jefferson,2134,44,152,2020-08-17 00:00:00
Three Rivers,1184,17,80,2020-08-17 00:00:00
Virginia Beach,5444,55,267,2020-08-17 00:00:00
Western Tidewater,2396,81,142,2020-08-17 00:00:00
West Piedmont,1271,18,155,2020-08-17 00:00:00
Alexandria,3146,61,287,2020-08-18 00:00:00
Alleghany,1015,18,54,2020-08-18 00:00:00
Arlington,3264,135,438,2020-08-18 00:00:00
Central Shenandoah,2952,60,229,2020-08-18 00:00:00
Central Virginia,1774,17,69,2020-08-18 00:00:00
Chesapeake,3319,41,268,2020-08-18 00:00:00
Chesterfield,5060,107,270,2020-08-18 00:00:00
Chickahominy,1080,46,135,2020-08-18 00:00:00
Crater,2684,70,233,2020-08-18 00:00:00
Cumberland Plateau,436,5,35,2020-08-18 00:00:00
Eastern Shore,1427,46,135,2020-08-18 00:00:00
Fairfax,17319,550,1995,2020-08-18 00:00:00
Hampton,1362,9,53,2020-08-18 00:00:00
Henrico,4189,187,357,2020-08-18 00:00:00
Lenowisco,557,10,50,2020-08-18 00:00:00
Lord Fairfax,2680,92,234,2020-08-18 00:00:00
Loudoun,5552,115,361,2020-08-18 00:00:00
Mount Rogers,1611,61,149,2020-08-18 00:00:00
New River,649,8,33,2020-08-18 00:00:00
Norfolk,4032,34,237,2020-08-18 00:00:00
Peninsula,3265,47,170,2020-08-18 00:00:00
Piedmont,1556,35,125,2020-08-18 00:00:00
Pittsylvania-Danville,1068,11,82,2020-08-18 00:00:00
Portsmouth,2022,25,139,2020-08-18 00:00:00
Prince William,12252,208,995,2020-08-18 00:00:00
Rappahannock,4004,58,317,2020-08-18 00:00:00
Rappahannock Rapidan,2053,27,140,2020-08-18 00:00:00
Richmond,3425,42,342,2020-08-18 00:00:00
Roanoke,1084,15,32,2020-08-18 00:00:00
Southside,885,37,69,2020-08-18 00:00:00
Thomas Jefferson,2153,44,155,2020-08-18 00:00:00
Three Rivers,1184,17,82,2020-08-18 00:00:00
Virginia Beach,5470,56,268,2020-08-18 00:00:00
Western Tidewater,2430,84,151,2020-08-18 00:00:00
West Piedmont,1323,18,160,2020-08-18 00:00:00
Alexandria,3165,61,287,2020-08-19 00:00:00
Alleghany,1013,18,53,2020-08-19 00:00:00
Arlington,3293,135,442,2020-08-19 00:00:00
Central Shenandoah,2971,60,229,2020-08-19 00:00:00
Central Virginia,1803,17,70,2020-08-19 00:00:00
Chesapeake,3358,41,269,2020-08-19 00:00:00
Chesterfield,5098,102,273,2020-08-19 00:00:00
Chickahominy,1090,46,135,2020-08-19 00:00:00
Crater,2722,69,234,2020-08-19 00:00:00
Cumberland Plateau,442,6,37,2020-08-19 00:00:00
Eastern Shore,1429,47,135,2020-08-19 00:00:00
Fairfax,17396,551,2007,2020-08-19 00:00:00
Hampton,1377,9,53,2020-08-19 00:00:00
Henrico,4202,187,358,2020-08-19 00:00:00
Lenowisco,565,10,51,2020-08-19 00:00:00
Lord Fairfax,2690,92,235,2020-08-19 00:00:00
Loudoun,5580,115,361,2020-08-19 00:00:00
Mount Rogers,1660,61,151,2020-08-19 00:00:00
New River,656,8,34,2020-08-19 00:00:00
